Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 1000 RGS Sub: Telecommunication Total Return,USD,Total,Real Time,RUITELECMT,,.RUITELECMT
Russell 1000 RGS Sub: Transportation & Freight Total Return,USD,Total,Real Time,RUITRANSFT,,.RUITRANSFT
Russell 1000 RGS Sub: Utilities Total Return,USD,Total,Real Time,RUIUTILT,,.RUIUTILT
Russell 1000 RGS Technology,USD,Price,Real Time,R1RGSTEC,RGUSTL,.R1RGSTEC
Russell 1000 RGS Technology Total Return,USD,Total,End of day,R1RGSTECTR,,.R1RGSTECTR
Russell 1000 RGS Utilities,USD,Price,Real Time,R1RGSUT,RGUSUL,.R1RGSUT
Russell 1000 RGS Utilities Total Return,USD,Total,End of day,R1RGSUTTR,,.R1RGSUTTR
Russell 1000 Total Return,USD,Total,Real Time,RUITR,RU10INTR,.RUITR
Russell 1000 Value,USD,Price,Real Time,RLV,RLV,.RLV
Russell 1000 Value 1.25x Daily Leveraged Index            ,USD,Total,End of day,R1VLEV125,,.R1VLEV125
Russell 1000 Value Index EUR,EUR,Net,End of day,,RU1VN30E,
Russell 1000 Value Index JPY,JPY,Price,End of day,,RLVWP,
Russell 1000 Value Net Return,USD,Net,Real Time,RLVNET,RU1VN30U,.RLVNET
Russell 1000 Value Net Return GBP,GBP,Net,End of day,RLVNETP,RU10EUHV,.RLVNETP
Russell 1000 Value Price - EOD,USD,Price,End of day,R1VPREOD,,.R1VPREOD
Russell 1000 Value Total Return,USD,Total,Real Time,RLVTR,RU10VATR,.RLVTRI
Russell 1000 Value Total Return GBP,GBP,Total,End of day,RLVTRP,RLVXP,.RLVTRP
Russell 1000 Value-Defensive TR,USD,Total,End of day,R1VDFTR,,.R1VDFTR
Russell 1000 Value-Dynamic TR,USD,Total,End of day,R1VDYTR,,.R1VDYTR
Russell 1000� Equal Weight Consumer Discretionary Index,USD,Total,Real Time,R1EWCDTR,R1EWCDTR,.R1EWCDTR
Russell 1000� Equal Weight Consumer Discretionary Index,USD,Price,End of day,R1EWCD,,.R1EWCD
Russell 1000� Equal Weight Consumer Staples Index,USD,Total,Real Time,R1EWCSTR,R1EWCSTR,.R1EWCSTR
Russell 1000� Equal Weight Consumer Staples Index,USD,Price,End of day,R1EWCS,,.R1EWCS
