Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell Developed,USD,Price,Real Time,RDEVUSD,RDEV,.RDEVUSD
Russell Developed Defensive,USD,Price,End of day,RUDDF,RUDEVDF,.RUDDF
Russell Developed Defensive Index EUR,EUR,Price,End of day,RUDDFEUR,,.RUDDFEUR
Russell Developed Defensive Index Net Return EUR,EUR,Net,End of day,RUDDFNEUR,,.RUDDFNEUR
Russell Developed Defensive Index Total Return EUR,EUR,Total,End of day,RUDDFTREUR,,.RUDDFTREUR
Russell Developed Defensive Net Return,USD,Net,End of day,RUDDFN,RUDEVDFN,.RUDDFN
Russell Developed Defensive Total Return,USD,Total,End of day,RUDDFTR,RUDEVDFT,.RUDDFTR
Russell Developed Dynamic,USD,Price,End of day,RUDDY,RUDEVDY,.RUDDY
Russell Developed Dynamic Net Return,USD,Net,End of day,RUDDYTN,RUDEVDYN,.RUDDYTN
Russell Developed Dynamic Total Return,USD,Total,End of day,RUDDYTR,RUDEVDYT,.RUDDYTR
Russell Developed Europe,USD,Price,End of day,RDEUUSD,RDEU,.RDEUUSD
Russell Developed Europe Defensive ,USD,Price,End of day,RUDEUDF,RUDEUDF,.RUDEUDF
Russell Developed Europe Defensive Net Return,USD,Net,End of day,RUDEUDFN,RUDEUDFN,.RUDEUDFN
Russell Developed Europe Defensive Total Return,USD,Total,End of day,RUDEUDFT,RUDEUDFT,.RUDEUDFT
Russell Developed Europe Dynamic ,USD,Price,End of day,RUDEUDY,RUDEUDY,.RUDEUDY
Russell Developed Europe Dynamic Net Return,USD,Net,End of day,RUDEUDYN,RUDEUDYN,.RUDEUDYN
Russell Developed Europe Dynamic Total Return,USD,Total,End of day,RUDEUDYT,RUDEUDYT,.RUDEUDYT
Russell Developed Europe EURO ,EUR,Price,End of day,RDEUEUR,,.RDEUEUR
Russell Developed Europe EURO Net Return,EUR,Net,End of day,RDEUNEUR,,.RDEUNEUR
Russell Developed Europe EURO Total Return,EUR,Total,End of day,RDEUTEUR,,.RDEUTEUR
Russell Developed Europe ex-UK,USD,Price,End of day,RDEXUSD,RDEX,.RDEXUSD
Russell Developed Europe ex-UK Large Cap,USD,Price,End of day,RDEXLUSD,,.RDEXLUSD
Russell Developed Europe ex-UK Large Cap Total Return,USD,Total,End of day,RDEXLTRUSD,,.RDEXLTRUSD
Russell Developed Europe ex-UK Midcap,USD,Price,End of day,RDEXMUSD,,.RDEXMUSD
Russell Developed Europe ex-UK Midcap Total Return,USD,Total,End of day,RDEXMTRUSD,,.RDEXMTRUSD
Russell Developed Europe ex-UK Small Cap,USD,Price,End of day,RDEXSUSD,,.RDEXSUSD
Russell Developed Europe ex-UK Small Cap Total Return,USD,Total,End of day,RDEXSTRUSD,,.RDEXSTRUSD
Russell Developed Europe ex-UK Total Return,USD,Total,End of day,RDEXTRUSD,,.RDEXTRUSD
Russell Developed Europe Large Cap,USD,Price,End of day,RDEULUSD,RDEUL,.RDEULUSD
Russell Developed Europe Large Cap Defensive,USD,Price,End of day,RDELDFU,RDELDFU,.RDELDFU
Russell Developed Europe Large Cap Defensive EURO,EUR,Price,End of day,RDELDFE,RDELDFE,.RDELDFE
Russell Developed Europe Large Cap Defensive Net,USD,Net,End of day,RDELDFNU,RDELDFNU,.RDELDFNU
Russell Developed Europe Large Cap Defensive Net EURO,EUR,Net,Real Time,RDELDFNE,RDELDFNE,.RDELDFNE
Russell Developed Europe Large Cap Defensive TR,USD,Total,End of day,RDELDFTU,RDELDFTU,.RDELDFTU
Russell Developed Europe Large Cap Defensive TR EURO,EUR,Total,Real Time,RDELDFTE,RDELDFTE,.RDELDFTE
Russell Developed Europe Large Cap EM GeoExposure,USD,Price,End of day,RUEGEOEX,RUEGEOEX,.RUEGEOEX
Russell Developed Europe Large Cap EM GeoExposure Index EUR,EUR,Price,Real Time,RUEGEOEXE,,.RUEGEOEXE
Russell Developed Europe Large Cap EM GeoExposure Index Net Ret EUR,EUR,Net,Real Time,RUEGEONE,,.RUEGEONE
Russell Developed Europe Large Cap EM GeoExposure Net,USD,Net,End of day,RUEGEON,RUEGEON,.RUEGEON
Russell Developed Europe Large Cap EM GeoExposure TR,USD,Total,End of day,RUEGEOT,RUEGEOT,.RUEGEOT
Russell Developed Europe Large Cap EURO ,EUR,Price,End of day,RDEULEUR,,.RDEULEUR
Russell Developed Europe Large Cap EURO Net Return,EUR,Net,End of day,RDEULNEUR,,.RDEULNEUR
Russell Developed Europe Large Cap EURO Ttl Return,EUR,Total,End of day,RDEULTEUR,RUDEULT,.RDEULTEUR
Russell Developed Europe Large Cap High Eff Def - Low EUR,EUR,Price,End of day,RURDEL3,RURDEL3,.RURDEL3
Russell Developed Europe Large Cap High Eff Def - Low NR EUR,EUR,Net,End of day,RURDEL3N,RURDEL3N,.RURDEL3N
Russell Developed Europe Large Cap High Eff Def - Low TR EUR,EUR,Total,End of day,RURDEL3T,RURDEL3T,.RURDEL3T
Russell Developed Europe Large Cap High Eff Def - Mod EUR,EUR,Price,End of day,RURDEL6,RURDEL6,.RURDEL6
Russell Developed Europe Large Cap High Eff Def - Mod NR EUR,EUR,Net,End of day,RURDEL6N,RURDEL6N,.RURDEL6N
Russell Developed Europe Large Cap High Eff Def - Mod TR EUR,EUR,Total,End of day,RURDEL6T,RURDEL6T,.RURDEL6T
Russell Developed Europe Large Cap High Eff Low Volatility Index Net,EUR,Net,Real Time,RURHWLLN,RURHWLLN,.RURHWLLN
Russell Developed Europe Large Cap High Eff Momentum Index Net,EUR,Net,Real Time,RURHWLMN,RURHWLMN,.RURHWLMN
Russell Developed Europe Large Cap High Eff Quality Index Net,EUR,Net,Real Time,RURHWLQN,RURHWLQN,.RURHWLQN
Russell Developed Europe Large Cap High Eff Value Index Net,EUR,Net,Real Time,RURHWLVN,RURHWLVN,.RURHWLVN
Russell Developed Europe Large Cap Index GBP,GBP,Price,End of day,,RUDEULNE,
Russell Developed Europe Large Cap Net Return,USD,Net,End of day,RDEULNUSD,RDEULK,.RDEULNUSD
Russell Developed Europe Large Cap Total Return,USD,Total,End of day,RDEULTRUSD,,.RDEULTRUSD
Russell Developed Europe LC Defensive,EUR,Price,End of day,RDELDFPE,,.RDELDFPE
Russell Developed Europe LC High Eff Low Volatility Index,EUR,Price,End of day,RURHWLL,,.RURHWLL
Russell Developed Europe LC High Eff Momentum Index,EUR,Price,End of day,RURHWLM,,.RURHWLM
Russell Developed Europe LC High Eff Quality Index,EUR,Price,End of day,RURHWLQ,,.RURHWLQ
Russell Developed Europe LC High Eff Value Index,EUR,Price,End of day,RURHWLV,,.RURHWLV
Russell Developed Europe Midcap,USD,Price,End of day,RDEUMUSD,,.RDEUMUSD
Russell Developed Europe Midcap EURO ,EUR,Price,End of day,RDEUMEUR,,.RDEUMEUR
Russell Developed Europe Midcap EURO Net Return,EUR,Net,End of day,RDEUMNEUR,,.RDEUMNEUR
Russell Developed Europe Midcap EURO Total Return,EUR,Total,End of day,RDEUMTEUR,,.RDEUMTEUR
Russell Developed Europe Midcap Net Return,USD,Net,End of day,RDEUMNUSD,,.RDEUMNUSD
Russell Developed Europe Midcap Total Return,USD,Total,End of day,RDEUMTRUSD,,.RDEUMTRUSD
Russell Developed Europe Net Return,USD,Net,End of day,RDEUNUSD,,.RDEUNUSD
Russell Developed Europe Small Cap,USD,Price,End of day,RDEUSUSD,RDEUS,.RDEUSUSD
Russell Developed Europe Small Cap EURO ,EUR,Price,End of day,RDEUSEUR,,.RDEUSEUR
Russell Developed Europe Small Cap EURO Net Return,EUR,Net,End of day,RDEUSNEUR,,.RDEUSNEUR
Russell Developed Europe Small Cap EURO Ttl Return,EUR,Total,End of day,RDEUSTEUR,,.RDEUSTEUR
Russell Developed Europe Small Cap Net Return,USD,Net,End of day,RDEUSNUSD,RUDEUSNE,.RDEUSNUSD
Russell Developed Europe Small Cap Total Return,USD,Total,End of day,RDEUSTRUSD,,.RDEUSTRUSD
Russell Developed Europe SMID,EUR,Price,Real Time,RUESMID,RUESMID,.RUESMID
Russell Developed Europe Total Return,USD,Total,End of day,RDEUTRUSD,,.RDEUTRUSD
Russell Developed Eurozone Defensive ,USD,Price,End of day,RUEUZDF,RUEUZDF,.RUEUZDF
Russell Developed Eurozone Defensive Net Return,USD,Net,End of day,RUEUZDFN,RUEUZDFN,.RUEUZDFN
Russell Developed Eurozone Defensive Total Return,USD,Total,End of day,RUEUZDFT,RUEUZDFT,.RUEUZDFT
Russell Developed Eurozone Dynamic ,USD,Price,End of day,RUEUZDY,RUEUZDY,.RUEUZDY
Russell Developed Eurozone Dynamic Net Return,USD,Net,End of day,RUEUZDYN,RUEUZDYN,.RUEUZDYN
Russell Developed Eurozone Dynamic Total Return,USD,Total,End of day,RUEUZDYT,RUEUZDYT,.RUEUZDYT
Russell Developed Eurozone Large Cap,USD,Price,End of day,REUZLUSD,,.REUZLUSD
Russell Developed Eurozone Large Cap Total Return,USD,Total,End of day,REUZLTRUSD,,.REUZLTRUSD
Russell Developed Eurozone Midcap,USD,Price,End of day,REUZMUSD,,.REUZMUSD
Russell Developed Eurozone Midcap Total Return,USD,Total,End of day,REUZMTRUSD,,.REUZMTRUSD
Russell Developed Eurozone Small Cap,USD,Price,End of day,REUZSUSD,,.REUZSUSD
Russell Developed Eurozone Small Cap Total Return,USD,Total,End of day,REUZSTRUSD,,.REUZSTRUSD
Russell Developed Eurozone SMID EUR,EUR,Price,Real Time,RUEZSMID,,.RUEZSMID
Russell Developed ex-Japan,USD,Price,End of day,RDXJUSD,RDXJ,.RDXJUSD
Russell Developed ex-Japan Large Cap,USD,Price,End of day,RDXJLUSD,RDXJL,.RDXJLUSD
Russell Developed ex-Japan Large Cap Total Return,USD,Total,End of day,RDXJLTRUSD,,.RDXJLTRUSD
Russell Developed ex-Japan Midcap,USD,Price,End of day,RDXJMUSD,,.RDXJMUSD
Russell Developed ex-Japan Midcap Total Return,USD,Total,End of day,RDXJMTRUSD,,.RDXJMTRUSD
Russell Developed ex-Japan Small Cap,USD,Price,End of day,RDXJSUSD,RDXJS,.RDXJSUSD
Russell Developed ex-Japan Small Cap Total Return,USD,Total,End of day,RDXJSTRUSD,,.RDXJSTRUSD
Russell Developed ex-Japan Total Return,USD,Total,End of day,RDXJTRUSD,,.RDXJTRUSD
Russell Developed ex-NA,USD,Price,End of day,RDXNUSD,RDXN,.RDXNUSD
Russell Developed ex-NA Large Cap,USD,Price,Real Time,RDXNLUSD,RDXNL,.RDXNLUSD
Russell Developed ex-NA Large Cap EM GeoExposure,USD,Price,End of day,RUXNGEO,RUXNGEO,.RUXNGEO
Russell Developed ex-NA Large Cap EM GeoExposure Index EUR,EUR,Price,Real Time,RUXNGEOE,,.RUXNGEOE
Russell Developed ex-NA Large Cap EM GeoExposure Index Net EUR,EUR,Net,Real Time,RUXNGEONE,,.RUXNGEONE
Russell Developed ex-NA Large Cap EM GeoExposure Net,USD,Net,End of day,RUXNGEON,RUXNGEON,.RUXNGEON
Russell Developed ex-NA Large Cap EM GeoExposure TR,USD,Total,End of day,RUXNGEOT,RUXNGEOT,.RUXNGEOT
Russell Developed ex-NA Large Cap Growth,USD,Price,End of day,RDXNLGUSD,RDXNLG,.RDXNLGUSD
Russell Developed ex-NA Large Cap Growth Net Return,USD,Net,End of day,,RDXNLZ,
Russell Developed ex-NA Large Cap Growth Total Return,USD,Total,End of day,RDXNLGTRUSD,RDXNLY,.RDXNLGTRUSD
Russell Developed ex-NA Large Cap High Eff Def - Low,USD,Price,End of day,RURDNL3,RURDNL3,.RURDNL3
Russell Developed ex-NA Large Cap High Eff Def - Low NR,USD,Net,End of day,RURDNL3N,RURDNL3N,.RURDNL3N
Russell Developed ex-NA Large Cap High Eff Def - Low TR,USD,Total,End of day,RURDNL3T,RURDNL3T,.RURDNL3T
Russell Developed ex-NA Large Cap High Eff Def - Mod,USD,Price,End of day,RURDNL6,RURDNL6,.RURDNL6
Russell Developed ex-NA Large Cap High Eff Def - Mod NR,USD,Net,End of day,RURDNL6N,RURDNL6N,.RURDNL6N
Russell Developed ex-NA Large Cap High Eff Def - Mod TR,USD,Total,End of day,RURDNL6T,RURDNL6T,.RURDNL6T
Russell Developed ex-NA Large Cap Index GBP,GBP,Price,End of day,,RUDXNLNC,
Russell Developed ex-NA Large Cap Net Return,USD,Net,End of day,,RDXNLCZ,
Russell Developed ex-NA Large Cap Total Return,USD,Total,End of day,RDXNLTRUSD,,.RDXNLTRUSD
Russell Developed ex-NA Large Cap Value,USD,Price,End of day,RDXNLVUSD,,.RDXNLVUSD
Russell Developed ex-NA Large Cap Value Total Return,USD,Total,End of day,RDXNLVTRUSD,,.RDXNLVTRUSD
Russell Developed ex-NA Midcap,USD,Price,End of day,RDXNMUSD,,.RDXNMUSD
Russell Developed ex-NA Midcap Total Return,USD,Total,End of day,RDXNMTRUSD,,.RDXNMTRUSD
Russell Developed ex-NA Small Cap,USD,Price,End of day,RDXNSUSD,,.RDXNSUSD
Russell Developed ex-NA Small Cap Growth,USD,Price,End of day,RDXNSGUSD,,.RDXNSGUSD
Russell Developed ex-NA Small Cap Growth Total Return,USD,Total,End of day,RDXNSGTRUSD,,.RDXNSGTRUSD
Russell Developed ex-NA Small Cap Total Return,USD,Total,End of day,RDXNSTRUSD,,.RDXNSTRUSD
Russell Developed ex-NA Small Cap Value,USD,Price,End of day,RDXNSVUSD,,.RDXNSVUSD
Russell Developed ex-NA Small Cap Value Total Return,USD,Total,End of day,RDXNSVTRUSD,,.RDXNSVTRUSD
Russell Developed ex-NA Total Return,USD,Total,End of day,RDXNTRUSD,,.RDXNTRUSD
Russell Developed ex-UK Large Cap,USD,Price,End of day,RDXKL,,.RDXKL
Russell Developed ex-UK Large Cap Net Return,USD,Net,End of day,RDXKLN,,.RDXKLN
Russell Developed ex-UK Large Cap Total,USD,Total,End of day,RDXKLT,,.RDXKLT
Russell Developed ex-US,USD,Price,Real Time,RDXUUSD,RDXU,.RDXUUSD
Russell Developed ex-US Growth,USD,Price,End of day,RDXUGUSD,,
Russell Developed ex-US Growth Net Return,USD,Net,End of day,RDXUGNUSD,,
Russell Developed ex-US Growth Total Return,USD,Total,End of day,RDXUGTUSD,,
Russell Developed ex-US Large Cap,USD,Price,End of day,RDXULUSD,RDXUL,.RDXULUSD
Russell Developed ex-US Large Cap Defensive,USD,Price,End of day,RUDXULF,,.RUDXULF
Russell Developed ex-US Large Cap Defensive Net Rtn,USD,Net,End of day,RUDXULFN,RUDXULFN,.RUDXULFN
Russell Developed ex-US Large Cap Defensive Total Rtn,USD,Total,End of day,RUDXULFT,,.RUDXULFT
Russell Developed ex-US Large Cap Dynamic,USD,Price,End of day,RUDXULY,,.RUDXULY
Russell Developed ex-US Large Cap Dynamic Net Rtn,USD,Net,End of day,RUDXULYN,RUDXULYN,.RUDXULYN
Russell Developed ex-US Large Cap Dynamic Total Rtn,USD,Total,End of day,RUDXULYT,,.RUDXULYT
Russell Developed ex-US Large Cap Growth,USD,Price,End of day,RUDXULG,,
Russell Developed ex-US Large Cap Growth Net Return,USD,Net,End of day,RUDXULGN,,
Russell Developed ex-US Large Cap Growth Total Return,USD,Total,End of day,RUDXULGT,,
Russell Developed ex-US Large Cap High Beta,USD,Price,End of day,RUDHBTA,RUDHBTA,.RUDHBTA
Russell Developed ex-US Large Cap High Beta NR,USD,Net,End of day,RUDHBTAN,,.RUDHBTAN
Russell Developed ex-US Large Cap High Beta TR,USD,Total,End of day,RUDHBTATR,RUDHBTAT,.RUDHBTATR
Russell Developed ex-US Large Cap High Eff Def - Low,USD,Price,End of day,RURDXL3,RURDXL3,.RURDXL3
Russell Developed ex-US Large Cap High Eff Def - Low NR,USD,Net,End of day,RURDXL3N,RURDXL3N,.RURDXL3N
Russell Developed ex-US Large Cap High Eff Def - Low TR,USD,Total,End of day,RURDXL3T,RURDXL3T,.RURDXL3T
Russell Developed ex-US Large Cap High Eff Def - Mod,USD,Price,End of day,RURDXL6,RURDXL6,.RURDXL6
Russell Developed ex-US Large Cap High Eff Def - Mod NR,USD,Net,End of day,RURDXL6N,RURDXL6N,.RURDXL6N
Russell Developed ex-US Large Cap High Eff Def - Mod TR,USD,Total,End of day,RURDXL6T,RURDXL6T,.RURDXL6T
Russell Developed ex-US Large Cap High Eff Low Volatility Index Net,USD,Net,Real Time,RURHRALN,RURHRALN,.RURHRALN
Russell Developed ex-US Large Cap High Eff Momentum Index Net,USD,Net,Real Time,RURHRAMN,RURHRAMN,.RURHRAMN
Russell Developed ex-US Large Cap High Eff Quality Index Net,USD,Net,Real Time,RURHRAQN,RURHRAQN,.RURHRAQN
Russell Developed ex-US Large Cap High Eff Value Index Net,USD,Net,Real Time,RURHRAVN,RURHRAVN,.RURHRAVN
Russell Developed ex-US Large Cap High Mom,USD,Price,End of day,RUDHMTM,RUDHMTM,.RUDHMTM
Russell Developed ex-US Large Cap High Mom NR,USD,Net,End of day,RUDHMTMN,,.RUDHMTMN
Russell Developed ex-US Large Cap High Mom TR,USD,Total,End of day,RUDHMTMTR,RUDHMTMT,.RUDHMTMTR
Russell Developed ex-US Large Cap High Vol,USD,Price,End of day,RUDHVOL,RUDHVOL,.RUDHVOL
Russell Developed ex-US Large Cap High Vol NR,USD,Net,End of day,RUDHVOLN,,.RUDHVOLN
Russell Developed ex-US Large Cap High Vol TR,USD,Total,End of day,RUDHVOLTR,RUDHVOLT,.RUDHVOLTR
Russell Developed ex-US Large Cap Low Beta,USD,Price,End of day,RUDLBTA,RUDLBTA,.RUDLBTA
Russell Developed ex-US Large Cap Low Beta NR,USD,Net,End of day,RUDLBTAN,,.RUDLBTAN
Russell Developed ex-US Large Cap Low Beta TR,USD,Total,End of day,RUDLBTATR,RUDLBTAT,.RUDLBTATR
Russell Developed ex-US Large Cap Low Vol NR,USD,Net,End of day,RUDLVOLN,,.RUDLVOLN
Russell Developed ex-US Large Cap Low Vol TR,USD,Total,End of day,RUDLVOLTR,RUDLVOLT,.RUDLVOLTR
Russell Developed ex-US Large Cap Low Volatility,USD,Price,Real Time,RUDLVOL,RUDLVOL,.RUDLVOL
Russell Developed ex-US Large Cap Net Return,USD,Net,Real Time,RUDXULN,RUDXULN,.RUDXULN
Russell Developed ex-US Large Cap Total Return,USD,Total,Real Time,RDXULR,RDXULR,.RDXULR
Russell Developed ex-US Large Cap Value Index,USD,Price,End of day,RUDXULV,,.RUDXULV
Russell Developed ex-US Large Cap Value Index Net Return,USD,Net,End of day,RUDXULVNR,,.RUDXULVNR
Russell Developed ex-US Large Cap Value Index Total Return,USD,Total,End of day,RUDXULVTR,,.RUDXULVTR
Russell Developed ex-US Midcap,USD,Price,End of day,RDXUMUSD,,.RDXUMUSD
Russell Developed ex-US Midcap Growth,USD,Price,End of day,RDXUMGUSD,,
Russell Developed ex-US Midcap Growth Net Return,USD,Net,End of day,RDXUMGNUSD,,
Russell Developed ex-US Midcap Growth Total Return,USD,Total,End of day,RDXUMGTUSD,,
Russell Developed ex-US Midcap Total Return,USD,Total,End of day,RDXUMTRUSD,,.RDXUMTRUSD
Russell Developed ex-US Midcap Value,USD,Price,End of day,RDXUMVUSD,,
Russell Developed ex-US Midcap Value Net Return,USD,Net,End of day,RDXUMVNUSD,,
Russell Developed ex-US Midcap Value Total Return,USD,Total,End of day,RDXUMVTUSD,,
Russell Developed ex-US Net Return,USD,Net,End of day,RUDXUN,RDXUN,.RUDXUN
Russell Developed ex-US Small Cap,USD,Price,End of day,RDXUSUSD,RDXUS,.RDXUSUSD
Russell Developed ex-US Small Cap Growth,USD,Price,End of day,RDXUSGUSD,,
Russell Developed ex-US Small Cap Growth Net Return,USD,Net,End of day,RDXUSGNUSD,,
Russell Developed ex-US Small Cap Growth Total Return,USD,Total,End of day,RDXUSGTUSD,,
Russell Developed ex-US Small Cap Net Return,USD,Net,End of day,RUDXUSN,RDXUSQ,.RUDXUSN
Russell Developed ex-US Small Cap Total Return,USD,Total,End of day,RDXUSTRUSD,RDXUSC,.RDXUSTRUSD
Russell Developed ex-US Small Cap Value,USD,Price,End of day,RDXUSVUSD,,
Russell Developed ex-US Small Cap Value Net Return,USD,Net,End of day,RDXUSVNUSD,,
Russell Developed ex-US Small Cap Value Total Return,USD,Total,End of day,RDXUSVTUSD,,
Russell Developed ex-US Total Return,USD,Total,Real Time,RDXUTRUSD,RDXUR,.RDXUTRUSD
Russell Developed ex-US Value,USD,Price,End of day,RDXUVUSD,,
Russell Developed ex-US Value Net Return,USD,Net,End of day,RDXUVNUSD,,
Russell Developed ex-US Value Total Return,USD,Total,End of day,RDXUVTUSD,,
Russell Developed Growth Index,USD,Total,End of day,,RUDEVGTR,
Russell Developed Growth-Defensive TR,USD,Total,End of day,RUDGDFTR,RUDVGFT,.RUDGDFTR
Russell Developed Growth-Dynamic TR,USD,Total,End of day,RUDGDYTR,RUDVGYT,.RUDGDYTR
Russell Developed Large Cap,USD,Price,End of day,RDEVLUSD,RDEVL,.RDEVLUSD
Russell Developed Large Cap Defensive Index,USD,Price,End of day,RUDDFLC,,.RUDDFLC
Russell Developed Large Cap Defensive Index Net Return,USD,Net,End of day,RUDDFLCN,,.RUDDFLCN
Russell Developed Large Cap Defensive Index Total Return,USD,Total,End of day,RUDDFLCTR,,.RUDDFLCTR
Russell Developed Large Cap EM GeoExposure,USD,Price,End of day,RULGEOEX,RULGEOEX,.RULGEOEX
Russell Developed Large Cap EM GeoExposure Index EUR,EUR,Price,Real Time,RULGEOEXE,,.RULGEOEXE
Russell Developed Large Cap EM GeoExposure Index Net Return EUR,EUR,Net,Real Time,RULGEONE,,.RULGEONE
Russell Developed Large Cap EM GeoExposure Index TR,USD,Total,End of day,RULGEOT,RULGEOT,.RULGEOT
Russell Developed Large Cap EM GeoExposure Net,USD,Net,Real Time,RULGEON,RULGEON,.RULGEON
Russell Developed Large Cap Growth,USD,Price,End of day,RDEVLGUSD,RDEVLG,.RDEVLGUSD
Russell Developed Large Cap Growth Net ,USD,Net,Real Time,RDEVLGNR,,.RDEVLGNR
Russell Developed Large Cap Growth Total Return,USD,Total,End of day,RDEVLGTRUSD,,.RDEVLGTRUSD
Russell Developed Large Cap High Eff Def - Low,USD,Price,End of day,RURDDL3,RURDDL3,.RURDDL3
Russell Developed Large Cap High Eff Def - Low NR,USD,Net,End of day,RURDDL3N,RURDDL3N,.RURDDL3N
Russell Developed Large Cap High Eff Def - Low TR,USD,Total,End of day,RURDDL3T,RURDDL3T,.RURDDL3T
Russell Developed Large Cap High Eff Def - Mod,USD,Price,End of day,RURDDL6,RURDDL6,.RURDDL6
Russell Developed Large Cap High Eff Def - Mod NR,USD,Net,End of day,RURDDL6N,RURDDL6N,.RURDDL6N
Russell Developed Large Cap High Eff Def - Mod TR,USD,Total,End of day,RURDDL6T,RURDDL6T,.RURDDL6T
Russell Developed Large Cap High Eff Low Volatility Index Net,USD,Net,Real Time,RURHRSLN,RURHRSLN,.RURHRSLN
Russell Developed Large Cap High Eff Momentum Index Net,USD,Net,Real Time,RURHRSMN,RURHRSMN,.RURHRSMN
Russell Developed Large Cap High Eff Quality Index Net,USD,Net,Real Time,RURHRSQN,RURHRSQN,.RURHRSQN
Russell Developed Large Cap High Eff Value Index Net,USD,Net,Real Time,RURHRSVN,RURHRSVN,.RURHRSVN
Russell Developed Large Cap Index EUR,EUR,Net,End of day,,RUDEVLNE,
Russell Developed Large Cap Index GBP,GBP,Net,End of day,,RUDEVLNP,
Russell Developed Large Cap Index JPY,JPY,Net,End of day,,RUDEVLNY,
Russell Developed Large Cap Net,USD,Net,Real Time,RDEVLCNR,RUDEVLN,.RDEVLCNR
Russell Developed Large Cap Total Return,USD,Total,End of day,RDEVLTRUSD,,.RDEVLTRUSD
Russell Developed Large Cap Value,USD,Price,End of day,RDEVLVUSD,RDEVLV,.RDEVLVUSD
Russell Developed Large Cap Value Net,USD,Net,Real Time,RDEVLVNR,,.RDEVLVNR
Russell Developed Large Cap Value Total Return,USD,Total,End of day,RDEVLVTRUSD,,.RDEVLVTRUSD
Russell Developed LC High Eff Low Volatility Index,USD,Price,End of day,RURHRSL,,.RURHRSL
Russell Developed LC High Eff Momentum Index,USD,Price,End of day,RURHRSM,,.RURHRSM
Russell Developed LC High Eff Quality Index,USD,Price,End of day,RURHRSQ,,.RURHRSQ
Russell Developed LC High Eff Value Index,USD,Price,End of day,RURHRSV,,.RURHRSV
Russell Developed Midcap,USD,Price,End of day,RDEVMUSD,,.RDEVMUSD
Russell Developed Midcap Total Return,USD,Total,End of day,RDEVMTRUSD,,.RDEVMTRUSD
Russell Developed Pacific Basin,USD,Price,End of day,RDPBUSD,RDPB,.RDPBUSD
Russell Developed Pacific Basin ex-Japan,USD,Price,End of day,RDPJUSD,RDPJ,.RDPJUSD
Russell Developed Pacific Basin ex-Japan Large Cap,USD,Price,End of day,RDPJLUSD,,.RDPJLUSD
Russell Developed Pacific Basin ex-Japan Large Cap Index Net,USD,Net,End of day,RDPJLNUSD,,.RDPJLNUSD
Russell Developed Pacific Basin ex-Japan Large Cap Total Return,USD,Total,End of day,RDPJLTRUSD,,.RDPJLTRUSD
Russell Developed Pacific Basin ex-Japan Midcap,USD,Price,End of day,RDPJMUSD,,.RDPJMUSD
Russell Developed Pacific Basin ex-Japan Midcap Total Return,USD,Total,End of day,RDPJMTRUSD,,.RDPJMTRUSD
Russell Developed Pacific Basin ex-Japan Small Cap,USD,Price,End of day,RDPJSUSD,RDPJS,.RDPJSUSD
Russell Developed Pacific Basin ex-Japan Small Cap Total Return,USD,Total,End of day,RDPJSTRUSD,,.RDPJSTRUSD
Russell Developed Pacific Basin ex-Japan Total Return,USD,Total,End of day,RDPJTRUSD,,.RDPJTRUSD
Russell Developed Pacific Basin Large Cap,USD,Price,End of day,RDPBLUSD,RDPBL,.RDPBLUSD
Russell Developed Pacific Basin Large Cap Total Return,USD,Total,End of day,RDPBLTRUSD,,.RDPBLTRUSD
Russell Developed Pacific Basin Midcap,USD,Price,End of day,RDPBMUSD,,.RDPBMUSD
Russell Developed Pacific Basin Midcap Total Return,USD,Total,End of day,RDPBMTRUSD,,.RDPBMTRUSD
Russell Developed Pacific Basin Small Cap,USD,Price,End of day,RDPBSUSD,RDPBS,.RDPBSUSD
Russell Developed Pacific Basin Small Cap Total Return,USD,Total,End of day,RDPBSTRUSD,,.RDPBSTRUSD
Russell Developed Pacific Basin Total Return,USD,Total,End of day,RDPBTRUSD,,.RDPBTRUSD
Russell Developed Small Cap,USD,Price,End of day,RDEVSUSD,RDEVS,.RDEVSUSD
Russell Developed Small Cap Growth,USD,Price,End of day,RDEVSGUSD,,.RDEVSGUSD
Russell Developed Small Cap Growth Total Return,USD,Total,End of day,RDEVSGTRUSD,,.RDEVSGTRUSD
Russell Developed Small Cap Total Return,USD,Total,End of day,RDEVSTRUSD,,.RDEVSTRUSD
Russell Developed Small Cap Value,USD,Price,End of day,RDEVSVUSD,,.RDEVSVUSD
Russell Developed Small Cap Value Total Return,USD,Total,End of day,RDEVSVTRUSD,,.RDEVSVTRUSD
Russell Developed Total Return,USD,Total,End of day,RDEVTRUSD,,.RDEVTRUSD
Russell Developed Value Index,USD,Total,End of day,,RUDEVVTR,
Russell Developed Value-Defensive TR,USD,Total,End of day,RUDVDFTR,RUDVVFT,.RUDVDFTR
Russell Developed Value-Dynamic TR,USD,Total,End of day,RUDVDYTR,RUDVVYT,.RUDVDYTR
Russell Developed xUS LC High Eff Low Volatility Index,USD,Price,End of day,RURHRAL,,.RURHRAL
Russell Developed xUS LC High Eff Momentum Index,USD,Price,End of day,RURHRAM,,.RURHRAM
Russell Developed xUS LC High Eff Quality Index,USD,Price,End of day,RURHRAQ,,.RURHRAQ
Russell Developed xUS LC High Eff Value Index,USD,Price,End of day,RURHRAV,,.RURHRAV
